path	status	purpose
scripts/INVENTORY.md	active-support	general
scripts/README.md	active-support	general
scripts/SCRIPT-HEADER-TEMPLATE.sh	active-support	general
scripts/TEST-TRAP-HANDLERS.sh	active-support	general
scripts/analyze-script-complexity.sh	active-support	general
scripts/archive/README.md	legacy-archive	general
scripts/archive/boot_hurd.sh	legacy-archive	general
scripts/archive/migrate-docs-2025-11.sh	legacy-archive	general
scripts/archive/test-docker-provision.sh	legacy-archive	provision-install
scripts/audit-documentation.sh	active-support	general
scripts/automation/audit/audit-scripts-inventory.sh	modular-canonical	general
scripts/automation/qemu/qemu-auto-verify.sh	modular-canonical	qemu-automation
scripts/automation/qemu/qemu-install-serial-fsm.sh	modular-canonical	qemu-automation
scripts/automation/qemu/qemu-matrix-runner.sh	modular-canonical	qemu-automation
scripts/automation/qemu/qemu-stall-probe.sh	modular-canonical	qemu-automation
scripts/automation/qemu/rebuild-hurd-unattended-iso.sh	modular-canonical	qemu-automation
scripts/automation/stubs/vbox-conceptual-stub.sh	conceptual-stub	virtualbox-stub
scripts/benchmark-kvm.sh	active-support	general
scripts/bootstrap-latest-hurd.sh	active-support	setup
scripts/bootstrap-workstation-hurd.sh	active-support	setup
scripts/bringup-and-provision.sh	active-support	provision-install
scripts/build-hurd-unattended-iso.sh	active-core	qemu-automation
scripts/capture-telnet-log.sh	active-support	general
scripts/check-ports.sh	active-support	general
scripts/check-ssh-banner.sh	active-support	general
scripts/configure-shell.sh	active-support	general
scripts/configure-users.sh	active-support	general
scripts/connect-console.sh	active-support	general
scripts/download-image.sh	active-support	general
scripts/download-released-image.sh	active-support	general
scripts/fix-script.sh	active-support	general
scripts/fix-sources-hurd.sh	active-support	general
scripts/full-automated-setup.sh	active-support	setup
scripts/generate-complexity-report.sh	active-support	general
scripts/guest-bootstrap.sh	active-support	setup
scripts/guestfish-bootstrap-hurd-console.sh	active-support	setup
scripts/guestfish-set-grub-root-device.sh	active-support	general
scripts/health-check.sh	active-support	general
scripts/install-claude-code-hurd.sh	active-support	provision-install
scripts/install-essentials-hurd.sh	active-support	provision-install
scripts/install-hurd-environment.sh	active-support	provision-install
scripts/install-hurd-packages.sh	active-support	provision-install
scripts/install-hurd-unattended.sh	active-core	qemu-automation
scripts/install-nodejs-hurd.sh	active-support	provision-install
scripts/install-ssh-hurd.sh	active-support	provision-install
scripts/inventory.tsv	active-support	general
scripts/launch-hurd-debug.sh	active-support	general
scripts/lib/README.md	shared-library	general
scripts/lib/colors.sh	shared-library	general
scripts/lib/container-helpers.sh	shared-library	general
scripts/lib/container-runtime.sh	shared-library	general
scripts/lib/installer/serial-log-utils.sh	shared-library	general
scripts/lib/package-helpers.sh	shared-library	general
scripts/lib/package-lists.sh	shared-library	general
scripts/lib/ssh-helpers.sh	shared-library	general
scripts/lib/test-package-libs.sh	shared-library	general
scripts/libvirt-hurd.sh	active-support	general
scripts/manage-image-backup-cache.sh	active-support	general
scripts/manage-snapshots.sh	active-support	general
scripts/monitor-qemu.sh	active-support	qemu-automation
scripts/provision-hurd-x11.sh	active-support	provision-install
scripts/qemu-auto-verify.sh	active-core	qemu-automation
scripts/qemu-cli-control.sh	active-support	qemu-automation
scripts/qemu-install-fsm.expect	active-core	qemu-automation
scripts/qemu-install-serial-fsm.sh	active-core	qemu-automation
scripts/qemu-login-run.sh	active-support	qemu-automation
scripts/qemu-matrix-runner.sh	active-core	qemu-automation
scripts/qemu-monitor-command.sh	active-support	qemu-automation
scripts/qemu-run-to-host.sh	active-support	qemu-automation
scripts/qemu-run-to-share.sh	active-support	qemu-automation
scripts/qemu-screenshot.sh	active-support	qemu-automation
scripts/qemu-sendkey.sh	active-support	qemu-automation
scripts/qemu-shell-run.sh	active-support	qemu-automation
scripts/qemu-stall-probe.sh	active-core	qemu-automation
scripts/qemu-type.sh	active-support	qemu-automation
scripts/qmp-helper.py	active-support	general
scripts/rebuild-hurd-unattended-iso.sh	active-core	qemu-automation
scripts/resolve-latest-hurd-amd64-daily-installer.sh	active-core	provision-install
scripts/resolve-latest-hurd-amd64.sh	active-support	general
scripts/run-hurd-qemu.sh	active-support	qemu-automation
scripts/scripts-inventory-audit.sh	active-support	general
scripts/setup-hurd-amd64-daily-installer.sh	active-core	setup
scripts/setup-hurd-amd64-latest.sh	active-support	setup
scripts/setup-hurd-amd64.sh	active-support	setup
scripts/setup-hurd-dev.sh	active-support	setup
scripts/smoke-console.sh	active-support	validation
scripts/smoke-container.sh	active-support	validation
scripts/smoke-guest.sh	active-support	validation
scripts/smoke-host.sh	active-support	validation
scripts/sudo-askpass.sh	active-support	general
scripts/test-docker.sh	test-support	general
scripts/test-hurd-system.sh	test-support	general
scripts/test-phases/01-infrastructure.sh	test-support	general
scripts/test-phases/02-boot.sh	test-support	general
scripts/test-phases/03-users.sh	test-support	general
scripts/test-phases/04-compilation.sh	test-support	general
scripts/test-phases/05-packages.sh	test-support	general
scripts/test-phases/06-filesystem.sh	test-support	general
scripts/test-phases/07-hurd-features.sh	test-support	general
scripts/test-phases/common.sh	test-support	general
scripts/test-run-hurd-qemu.sh	test-support	qemu-automation
scripts/utils/fix-manual-links.py	active-support	general
scripts/utils/fix-remaining-links.py	active-support	general
scripts/utils/link-fix-data.json	active-support	general
scripts/utils/link-scanner.py	active-support	general
scripts/validate-config.sh	active-core	validation
scripts/validate-security-config.sh	active-support	validation
scripts/vboxmanage-hurd.sh	conceptual-stub	virtualbox-stub
scripts/wait-for-guest-ssh.sh	active-support	general
